Generation;Highest Fitness;Average Fitness;Runtime
0;6,925187;0,1026713;4,736727
1;5,842903;1,199837;5,923293
2;5,969383;2,264839;6,732509
3;14,142;2,511517;6,502147
4;14,07977;2,911831;6,026208
5;15,43369;4,23473;4,017062
6;16,04733;4,666041;7,25682
7;20,8638;6,76212;6,998323
8;21,32454;7,317296;7,431963
9;20,98237;6,977122;8,520145
10;21,17305;6,561;8,837325
11;21,21785;6,295403;7,14101
12;21,13063;6,440966;11,43886
13;20,94734;6,75321;13,10331
14;21,2684;7,842671;7,433911
15;21,24645;5,757964;9,155952
